window_start,site,Chem,conc
1992-02-25,b2,k_mgl,1.126
1992-02-25,b2,mg_mgl,3.118
1992-02-25,b2,no3,81.33333333333334
1992-02-25,b2,Ca,5.899
1992-02-25,b2,NH4,NA
1992-04-28,b2,k_mgl,1.2510000000000001
1992-04-28,b2,mg_mgl,2.614
1992-04-28,b2,no3,114.22222222222223
1992-04-28,b2,Ca,5.4959999999999996
1992-04-28,b2,NH4,NA
1992-06-30,b2,k_mgl,1.246
1992-06-30,b2,mg_mgl,3.35
1992-06-30,b2,no3,98.4
1992-06-30,b2,Ca,7.008
1992-06-30,b2,NH4,NA
1992-09-01,b2,k_mgl,1.269
1992-09-01,b2,mg_mgl,3.128
1992-09-01,b2,no3,47.33333333333333
1992-09-01,b2,Ca,6.579
1992-09-01,b2,NH4,NA
1992-11-03,b2,k_mgl,1.2369999999999999
1992-11-03,b2,mg_mgl,2.716
1992-11-03,b2,no3,66.28571428571429
1992-11-03,b2,Ca,5.866
1992-11-03,b2,NH4,NA
1993-01-05,b2,k_mgl,1.2369999999999999
1993-01-05,b2,mg_mgl,3.174
1993-01-05,b2,no3,177.5
1993-01-05,b2,Ca,6.477
1993-01-05,b2,NH4,NA
1993-03-09,b2,k_mgl,1.313
1993-03-09,b2,mg_mgl,3.152
1993-03-09,b2,no3,127.5
1993-03-09,b2,Ca,6.146
1993-03-09,b2,NH4,NA
1993-05-11,b2,k_mgl,1.456
1993-05-11,b2,mg_mgl,2.943
1993-05-11,b2,no3,72.75
1993-05-11,b2,Ca,6.145
1993-05-11,b2,NH4,NA
1993-07-13,b2,k_mgl,1.4100000000000001
1993-07-13,b2,mg_mgl,3.025
1993-07-13,b2,no3,51.4
1993-07-13,b2,Ca,7.048
1993-07-13,b2,NH4,NA
1993-09-14,b2,k_mgl,1.354
1993-09-14,b2,mg_mgl,2.844
1993-09-14,b2,no3,68.3
1993-09-14,b2,Ca,6.365
1993-09-14,b2,NH4,NA
1993-11-16,b2,k_mgl,1.399
1993-11-16,b2,mg_mgl,2.648
1993-11-16,b2,no3,56.66666666666667
1993-11-16,b2,Ca,6.312
1993-11-16,b2,NH4,NA
1994-01-18,b2,k_mgl,1.349
1994-01-18,b2,mg_mgl,2.865
1994-01-18,b2,no3,12.333333333333334
1994-01-18,b2,Ca,6.063
1994-01-18,b2,NH4,NA
1994-03-22,b2,k_mgl,1.273
1994-03-22,b2,mg_mgl,3.058
1994-03-22,b2,no3,28.428571428571427
1994-03-22,b2,Ca,6.77
1994-03-22,b2,NH4,NA
1994-05-24,b2,k_mgl,1.46125
1994-05-24,b2,mg_mgl,3.11875
1994-05-24,b2,no3,87.625
1994-05-24,b2,Ca,6.51
1994-05-24,b2,NH4,NA
1994-07-26,b2,k_mgl,0.9500000000000001
1994-07-26,b2,mg_mgl,1.9333333333333331
1994-07-26,b2,no3,NA
1994-07-26,b2,Ca,3.913333333333333
1994-07-26,b2,NH4,NA
1994-09-27,b2,k_mgl,1.212
1994-09-27,b2,mg_mgl,2.166
1994-09-27,b2,no3,NA
1994-09-27,b2,Ca,4.572
1994-09-27,b2,NH4,NA
1994-11-29,b2,k_mgl,NA
1994-11-29,b2,mg_mgl,NA
1994-11-29,b2,no3,NA
1994-11-29,b2,Ca,NA
1994-11-29,b2,NH4,NA
1988-01-05,b3,k_mgl,0.7175
1988-01-05,b3,mg_mgl,2.58375
1988-01-05,b3,no3,167.23529411764707
1988-01-05,b3,Ca,3.3775
1988-01-05,b3,NH4,33.111111111111114
1988-03-08,b3,k_mgl,0.59
1988-03-08,b3,mg_mgl,2.571818181818182
1988-03-08,b3,no3,205.1818181818182
1988-03-08,b3,Ca,3.4127272727272726
1988-03-08,b3,NH4,28.81818181818182
1988-05-10,b3,k_mgl,0.6863636363636364
1988-05-10,b3,mg_mgl,2.3781818181818184
1988-05-10,b3,no3,196
1988-05-10,b3,Ca,2.6436363636363636
1988-05-10,b3,NH4,59.57142857142857
1988-07-12,b3,k_mgl,0.6253333333333333
1988-07-12,b3,mg_mgl,2.2439999999999998
1988-07-12,b3,no3,135.5
1988-07-12,b3,Ca,2.7146666666666666
1988-07-12,b3,NH4,25.166666666666668
1988-09-13,b3,k_mgl,0.6366666666666666
1988-09-13,b3,mg_mgl,2.5055555555555555
1988-09-13,b3,no3,167.55555555555554
1988-09-13,b3,Ca,3.3644444444444446
1988-09-13,b3,NH4,41.75
1988-11-15,b3,k_mgl,0.741
1988-11-15,b3,mg_mgl,2.666
1988-11-15,b3,no3,173.2
1988-11-15,b3,Ca,3.8166666666666664
1988-11-15,b3,NH4,NA
1989-01-17,b3,k_mgl,0.762
1989-01-17,b3,mg_mgl,2.807
1989-01-17,b3,no3,164.6
1989-01-17,b3,Ca,3.762
1989-01-17,b3,NH4,NA
1989-03-21,b3,k_mgl,0.731
1989-03-21,b3,mg_mgl,2.766
1989-03-21,b3,no3,167.2
1989-03-21,b3,Ca,3.94
1989-03-21,b3,NH4,NA
1989-05-23,b3,k_mgl,0.7511111111111111
1989-05-23,b3,mg_mgl,2.8066666666666666
1989-05-23,b3,no3,92.22222222222223
1989-05-23,b3,Ca,3.7533333333333334
1989-05-23,b3,NH4,NA
1989-07-25,b3,k_mgl,0.878
1989-07-25,b3,mg_mgl,2.482727272727273
1989-07-25,b3,no3,155.875
1989-07-25,b3,Ca,3.4336363636363636
1989-07-25,b3,NH4,NA
1989-09-26,b3,k_mgl,1.4461538461538461
1989-09-26,b3,mg_mgl,3.3375
1989-09-26,b3,no3,431.6666666666667
1989-09-26,b3,Ca,3.7225
1989-09-26,b3,NH4,NA
1989-11-28,b3,k_mgl,1.276
1989-11-28,b3,mg_mgl,3.567
1989-11-28,b3,no3,198.11111111111111
1989-11-28,b3,Ca,5.156
1989-11-28,b3,NH4,NA
1990-01-30,b3,k_mgl,1.43
1990-01-30,b3,mg_mgl,3.393
1990-01-30,b3,no3,381.77777777777777
1990-01-30,b3,Ca,4.8229999999999995
1990-01-30,b3,NH4,NA
1990-04-03,b3,k_mgl,1.342
1990-04-03,b3,mg_mgl,2.7399999999999998
1990-04-03,b3,no3,340.57142857142856
1990-04-03,b3,Ca,3.763333333333333
1990-04-03,b3,NH4,NA
1990-06-05,b3,k_mgl,1.167
1990-06-05,b3,mg_mgl,3.436
1990-06-05,b3,no3,222.77777777777777
1990-06-05,b3,Ca,4.733
1990-06-05,b3,NH4,NA
1990-08-07,b3,k_mgl,0.999
1990-08-07,b3,mg_mgl,3.442
1990-08-07,b3,no3,145.9
1990-08-07,b3,Ca,5.516
1990-08-07,b3,NH4,NA
